id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F5872	750.5435	70.76	kp837_749.5362		M0,M+H+	68.14	73.75	3291	34233138	1.0	0.94	390	8	3541366	5001990	4683871	5437729	5710751	3944433	2882958	3346976
F5875	751.5468	1.65	4915	C40H79O10P	singleton	0.9	6.24	3292	6830472	0.95	0.95	130	7	1335902	210733	0	525968	144009	1424444	1455062	1515446
F5884	752.5589	63.28	kp840_751.5531		M0,M+H+	58.76	67.4	3293	19260952	0.77	0.94	277	8	2148472	3161081	2987484	3140374	3381014	2123175	1573990	865882
F5885	752.5589	70.76	kp842_751.5517		M0,M+H+	67.4	73.38	3293	22536219	1.0	0.95	676	8	2048747	4070274	3551517	3732611	3866929	2565915	1479788	1247493
F5886	876.5595	92.63	4916	C45H79O13P	singleton	91.13	95.7	3630	5084712	1.0	0.95	1252	5	1414201	798729	707415	716123	0	1395258	0	0
F5888	876.6838	59.91	4917	C50H96NO7P	singleton	56.48	61.42	3631	1481972	1.0	0.73	205	7	268349	95758	258110	439380	267785	157759	24707	0
F5889	876.6838	69.25	kp843_875.6768		M0,M+H+	67.77	71.14	3631	7573326	1.0	0.92	828	7	729236	1127899	1437741	1566350	1147081	982729	638928	0
F5893	635.8563	140.23	106189		singleton	136.45	144.4	3041	2747018	1.0	0.94	237	3	572511	1010682	1068264	0	0	0	0	0
F5895	754.009	146.3	kp1537_1507.0115		M0,M+H+, 2x charged	145.18	149.65	3295	102313528	1.0	0.9	16278	8	14474043	9282187	13643662	12947128	9934240	14473632	14587562	14929346
F5901	636.9674	146.67	4919	C32H17Cl4O4P	singleton	145.18	150.03	3044	33966644	1.0	0.91	5212	8	4265445	2129331	3046850	4411088	5495451	4804566	5761993	5410061
F5902	880.554	65.15	kp885_878.5461		13C/12C,M+H+	60.67	69.25	3634	7011029	1.0	0.99	694	4	1057678	0	0	0	0	1321233	2201808	2495518
F5903	880.554	72.25	4920	C48H80O14	singleton	69.25	73.75	3634	1699157	1.0	0.96	252	4	414221	0	0	0	0	293232	740479	400723
