id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F1	83.0603	170.72	_singleton_1626	C4H6N2		168.8	175.35	0	68233281	1.0	0.89	5	8	11999810	13963539	13572898	12448054	11857819	11774404	10883477	10342329
F3	84.0444	173.81	kp1_83.0371		M0,M+H+	169.18	178.44	1	223323080	1.0	0.9	54	8	5537018	57663278	52570450	47681862	43934538	5592467	5494101	5333602
F4	84.0444	196.35	kp2_83.0371		M0,M+H+	192.16	200.92	1	168822841	1.0	0.85	55	8	31505539	8896918	8344411	10567488	20144492	30488967	30534878	28300374
F6	150.9978	149.65	1630	C3H3F3O2	singleton	147.79	153.1	387	4748541	1.0	0.99	714	4	1264368	0	0	0	0	1134894	1266462	1085707
F7	84.0808	129.52	kp4_83.0735		M0,M+H+	126.09	134.14	2	33239848	1.0	0.92	32	8	3605623	3876308	4956308	5571413	5738826	3562333	3256920	3194580
F9	84.0808	228.41	kp5_83.0735		M0,M+H+	223.91	232.91	2	101063770	1.0	0.93	34	8	5760663	21326425	20249296	18505246	18044634	6736338	6028273	6259698
F10	84.9112	140.61	1632	Rb	singleton	137.22	144.79	3	19392709	1.0	0.95	2794	8	2309461	2327218	2307391	2325516	2206086	2491726	2258420	2390432
F12	151.0616	65.54	_singleton_1633	C6H6N4O	singleton	61.8	68.51	388	10462697	1.0	0.92	24	8	1429158	1139811	971744	1128466	1228619	1455095	1575916	1610632
F17	85.0284	94.15	_singleton_1637	C4H4O2	singleton	91.87	95.32	5	941349	0.83	0.85	19	8	131167	77601	106456	91553	110863	117981	129566	151143
F18	85.0284	136.83	_singleton_1638	C4H4O2	singleton	134.14	137.98	5	2092634	1.0	0.99	15	8	316656	66635	253788	236899	272591	351486	301914	278273
F19	85.0284	160.0	kp1229_84.0211		M0,M+H+	156.58	164.57	5	56632542	1.0	0.97	553	8	5783923	8407035	8277236	7987076	7212252	6164669	5532261	5721389
F20	85.0284	174.19	_singleton_1639	C4H4O2	singleton	171.88	178.05	5	2096889	0.92	0.83	21	8	88161	503115	452623	428286	354254	81220	97346	108884
F21	85.0284	182.66	_singleton_1640	C4H4O2	singleton	180.36	187.18	5	6186333	1.0	0.84	65	8	724610	1039429	836551	689636	676299	870178	693923	753777
F22	85.0284	196.72	1641	C4H4O2	singleton	194.46	200.92	5	2733026	0.91	0.87	24	8	586733	120513	134549	181701	169837	460318	546574	530194
F25	151.0866	18.38	kp1230_109.0528		M0,M+H+	17.26	22.58	389	19811474	1.0	0.96	62	8	3255743	1974753	2196880	2194339	2125693	2848780	3078952	2638776
F30	86.06	37.17	_singleton_1647	C4H7NO	singleton	32.55	41.82	8	22457841	1.0	0.99	45	8	2711168	2680754	3754521	3449047	3116657	2642881	2695416	2576481
F33	86.06	160.0	_singleton_1650	C4H7NO	singleton	155.42	163.43	8	11091882	1.0	0.93	5	8	1525579	1503260	1548896	1395382	1378106	1497071	1551499	1352503
F35	151.0965	23.7	_singleton_1655	C6H12O3	singleton	21.04	28.31	390	10018217	1.0	0.9	135	8	1875388	402623	572633	334886	336866	1985390	2351766	2324929
F38	86.0712	74.12	_singleton_1661	C3H4N2	singleton	71.51	78.66	10	4741406	1.0	0.98	19	7	560225	844757	654634	734443	782837	0	566569	544542
F40	86.0712	128.76	_singleton_1663	C3H4N2	singleton	124.17	132.21	10	2784551	0.71	0.95	8	7	301156	468106	501548	425276	414232	0	342514	320060
F42	86.0964	98.39	kp6_85.0891		M0,M+H+	95.32	103.01	11	55767959	0.86	0.81	9	8	6997662	7082474	9486365	8691270	7864387	7133687	6980712	7287032
F43	86.0964	121.55	kp7_85.0891		M0,M+H+	117.02	124.93	11	242287749	1.0	0.93	88	8	30167964	34177981	35298796	31839985	28873098	30836950	28127983	29552342
F44	86.0964	127.23	kp8_85.0891		M0,M+H+	124.93	131.83	11	374343022	1.0	0.92	118	8	46605025	46634612	49776484	50206916	46687347	46920777	43387025	41277107
F45	86.9086	140.61	105941		singleton	137.6	144.4	12	8504591	1.0	0.91	1309	8	877396	1141191	976950	944300	1038210	927729	1102062	1066197
F46	151.123	7.39	_singleton_1670	C9H11N	singleton	2.78	10.82	393	3900467	1.0	0.78	4	7	397715	2123397	0	499061	366866	416445	414272	341321
F47	151.123	12.72	_singleton_1671	C9H11N	singleton	10.82	14.61	393	2724930	1.0	0.99	5	7	164843	187559	0	1970141	242592	234204	149702	132948
F48	151.123	19.14	_singleton_1672	C9H11N	singleton	16.13	23.32	393	10341736	1.0	0.99	14	7	2168878	190637	0	203614	2239253	2111816	1926815	2021073
F51	151.1441	174.96	kp9_150.1369		M0,M+H+	171.88	179.6	394	342479661	1.0	0.99	54011	8	38467568	48056195	42168994	46474557	48724079	39637168	40253414	38718686
F52	87.044	170.72	_singleton_1683	C4H6O2	singleton	167.65	173.81	13	653724	1.0	1.0	18	6	106774	119278	119348	127521	112212	81127	0	0
F53	87.044	176.51	_singleton_1684	C4H6O2	singleton	173.81	181.14	13	2562108	1.0	0.99	68	6	558823	367101	426069	377019	315927	537178	0	0
F54	87.044	203.22	1685	C4H6O2	singleton	198.62	207.81	13	3851735	1.0	0.97	124	6	571635	694142	692683	689265	690543	564975	0	0
F55	151.9796	10.05	kp1231_150.9724		M0,M+H+	0.52	14.23	395	3901864	1.0	0.71	6	3	1402815	0	0	0	0	0	1228621	1255426
F57	152.0376	172.65	1686	C4H7NO2S	singleton	169.96	177.28	396	8999644	0.89	0.78	80	8	842510	1330347	1408159	1420130	1342289	1056324	598902	1052780
F58	152.0542	37.17	_singleton_1687	C3H7N5O	singleton	33.71	39.9	397	1750724	1.0	0.91	198	8	228851	196756	319747	255187	202463	194626	228717	141377
F59	152.0542	131.83	1688	C3H7N5O	singleton	130.28	136.45	397	13216251	1.0	0.93	1884	8	1315327	1977110	1872857	2061450	2009268	1381650	1136841	1226140
F63	88.0505	7.01	_singleton_1689	C2H2N2O	singleton	5.86	10.05	15	1664152	1.0	0.92	15	6	10948	1601125	0	42296	13076	13028	0	8816
F64	88.0505	12.72	_singleton_1690	C2H2N2O	singleton	10.05	14.99	15	2270997	1.0	0.96	19	5	0	184983	0	2016702	58159	11815	0	13409
F65	88.0505	19.14	1691	C2H2N2O	singleton	16.89	23.32	15	7437598	1.0	0.98	41	7	1441283	149403	0	73406	1500259	1338192	1463075	1479949
F66	88.0578	196.72	kp3_86.0472		13C/12C,M+H+	192.92	200.92	16	84288325	1.0	0.89	225	8	7509801	14433238	13154669	13963877	12091389	7579447	7519156	6996895
F70	152.0706	113.57	kp13_151.0633		M0,M+H+	109.23	118.16	398	83283992	1.0	0.92	13	8	9666892	12053363	15317597	13147504	10962515	9789244	8479613	8157003
F76	88.0757	129.52	1695	C4H7N	singleton	111.65	137.6	17	44002064	1.0	0.74	3	8	7589919	6274846	7475802	7338721	7805250	7490557	8027290	7526537
F80	189.0871	188.32	_singleton_1697	C7H12N2O4	singleton	186.8	191.76	748	3276532	0.84	0.94	21	4	806980	0	0	0	0	899840	761190	822522
F83	189.0871	223.54	1700	C7H12N2O4	singleton	220.5	227.66	748	10720988	0.86	0.74	191	4	50296	0	0	0	0	6253999	90235	4530541
F84	189.0871	234.44	kp17_188.0798		M0,M+H+	230.67	238.64	748	31049571	1.0	0.93	622	4	2799603	0	0	0	0	15426712	1788358	11056898
F85	152.1182	6.24	_singleton_1701	C8H10N2	singleton	2.02	8.53	401	3149315	0.83	0.73	4	7	354245	1081176	0	524119	397087	403370	367724	297229
F86	152.1182	12.72	_singleton_1702	C8H10N2	singleton	8.53	15.37	401	3019891	0.92	0.78	5	7	349059	106599	0	878207	670095	566200	338122	322442
F87	152.1182	18.38	_singleton_1703	C8H10N2	singleton	15.37	22.95	401	3792692	1.0	0.99	9	7	766269	34817	0	23756	860043	740021	731507	883919
F92	88.112	6.24	_singleton_1707	C5H13N	singleton	4.69	8.53	18	7108208	0.82	0.95	11	7	927055	1364965	0	1035796	994789	871426	978939	858983
F93	88.112	11.96	_singleton_1708	C5H13N	singleton	8.53	16.51	18	11779734	0.82	0.96	10	7	1528337	1433725	0	2156916	1851151	1601844	1618189	1484424
F94	88.112	18.76	_singleton_1709	C5H13N	singleton	16.51	23.32	18	8071422	0.82	0.84	10	7	1271901	1120576	0	786070	1150841	1087362	1516212	1119029
F99	152.1434	16.51	1714	C10H14	singleton	13.86	18.38	402	1811717	1.0	0.99	226	4	580574	0	0	0	0	407886	284594	541433
F100	235.1189	37.57	_singleton_1715	C11H11N3O2	singleton	34.1	41.43	1108	14834784	1.0	0.8	1448	8	2703857	833759	1145974	1113325	934838	2770572	2824071	2627088
F101	235.1189	43.37	_singleton_1716	C11H11N3O2	singleton	41.43	47.6	1108	10826552	1.0	0.99	1315	8	1845329	1147490	730468	830469	679466	2020687	1888659	1938287
F102	89.0597	24.07	1720	C4H6O	singleton	22.2	28.7	19	1888637	1.0	0.98	319	4	463427	0	0	0	0	494837	446050	516139
F104	189.1235	136.83	_singleton_1721	C8H16N2O3	singleton	132.21	137.98	749	1941743	0.94	0.97	20	8	284141	118949	215631	221512	232291	274280	226378	337764
F105	189.1235	160.37	kp1233_160.7651		M0,M+H+	157.74	164.57	749	13738158	1.0	0.97	193	8	1755878	1957309	2028291	1518186	1327929	1574174	1653527	1736865
F107	189.1235	176.89	_singleton_1722	C8H16N2O3	singleton	173.81	178.05	749	2093504	0.92	0.83	21	8	332576	138967	214118	259059	304310	317449	265397	273628
F108	189.1235	181.52	kp1412_147.0896		M0,ACN	178.05	182.66	749	8036932	1.0	0.92	148	8	1045617	838976	830588	778565	751129	1277563	1209581	1317913
F109	189.1235	211.26	1723	C8H16N2O3	singleton	207.81	214.72	749	4070222	0.96	0.98	27	8	806930	283900	241108	214768	155722	834641	794104	758049
F111	189.1275	15.75	1725	C13H16O	singleton	14.23	17.63	750	716700	1.0	0.99	44	3	396436	0	0	0	0	0	103494	226774
F116	189.1347	215.49	kp18_188.1274		M0,M+H+	212.04	220.12	752	54169388	1.0	0.78	170	8	3470360	18398073	9987383	6800291	5915263	3343012	2951642	2915771
F117	189.1347	227.29	1727	C7H16N4O2	singleton	223.91	231.41	752	17876561	0.83	0.79	58	8	319344	5165647	5441591	3568784	2658779	461835	274856	319107
F121	189.1599	250.48	kp19_188.1526		M0,M+H+	246.66	255.06	753	72810355	1.0	0.97	40	8	4064661	10231460	16335321	15389845	11127799	5533655	3676437	5072650
F122	189.2043	24.82	105942		singleton	22.95	26.75	754	2681936	1.0	0.99	128	4	697805	0	0	0	0	697009	693075	621320
F123	153.0635	136.05	_singleton_1731	C5H10N2O2	singleton	131.45	138.74	405	2637886	0.82	0.92	10	7	301738	407993	505178	482218	389295	0	306820	239308
F126	153.0635	162.28	_singleton_1733	C5H10N2O2	singleton	160.37	164.19	405	1410234	0.79	0.98	13	7	113022	226965	322996	242490	192456	0	98161	143406
F127	153.0635	168.8	_singleton_1734	C5H10N2O2	singleton	164.19	173.42	405	4053431	0.87	0.91	15	7	543423	555740	786152	700528	531409	0	453315	461131
F130	236.1394	7.01	1736	C12H14N2O2	singleton	4.69	10.82	1112	860568	1.0	0.99	78	1	0	888688	0	0	0	0	0	0
F131	236.1394	18.01	kp1248_194.1056		M0,ACN	16.13	22.58	1112	2337949	1.0	0.95	128	5	696112	80339	0	0	0	332728	637854	608924
F133	89.0709	12.34	_singleton_1738	C3H6N2	singleton	11.58	14.23	20	985573	0.77	0.87	5	6	0	31089	23180	934016	12680	0	11888	13138
F134	89.0709	19.14	_singleton_1739	C3H6N2	singleton	16.89	23.32	20	6934287	1.0	0.88	23	8	1292839	25162	34893	70306	1854768	1201597	1203520	1344441
F135	89.0709	106.47	_singleton_1740	C3H6N2	singleton	102.63	111.25	20	3917937	1.0	0.87	9	8	236829	681112	1161441	735228	481247	180906	276944	273717
F140	190.1187	163.81	_singleton_1743	C7H15N3O3	singleton	161.9	168.03	757	4548132	1.0	0.78	119	8	438620	782331	943906	619466	518325	435958	386668	407914
F141	190.1187	174.96	kp1236_189.1114		M0,M+H+	171.11	179.6	757	15827418	1.0	0.95	561	8	1731177	2407285	2574554	2260271	1961050	1729967	1574824	1611290
F142	190.1187	195.23	1744	C7H15N3O3	singleton	192.92	197.1	757	931589	0.86	0.88	34	8	190938	39657	37132	26581	160746	126143	195954	166438
F143	153.0659	25.2	kp20_152.0586		M0,M+H+	23.7	27.93	406	161275422	1.0	0.86	260	8	20961387	16330273	25603419	24483934	19904713	22089108	19491854	19105795
F144	153.0659	29.84	kp21_152.0586		M0,M+H+	27.93	34.49	406	77885012	1.0	0.96	97	8	8622847	9103346	9185290	11769017	12379459	10444950	9075637	9733681
F151	236.1646	33.71	_singleton_1750	C14H21NO2	singleton	29.46	38.35	1113	2458077	0.85	0.94	12	4	549329	0	0	0	0	613453	644228	675067
F152	236.1646	55.71	_singleton_1751	C14H21NO2	singleton	51.47	60.29	1113	14795332	1.0	0.99	78	4	3838459	0	0	0	0	3935355	3532299	3513219
F153	236.1646	65.54	1752	C14H21NO2	singleton	64.02	67.02	1113	895415	0.97	0.95	13	4	172179	0	0	0	0	269623	308138	154475
F155	190.1438	18.01	_singleton_1753	C9H16O3	singleton	16.51	20.27	758	1782823	1.0	0.99	335	3	634545	0	0	0	0	0	739355	419927
F156	190.9928	169.96	1755	C7H7ClO2S	singleton	168.42	174.19	759	13057362	1.0	0.96	2308	8	1602250	1646352	1511671	1379780	1224197	1701321	1975607	2032184
F157	191.0404	173.81	_singleton_1756	C7H8ClNS	singleton	171.49	177.67	760	40729621	1.0	0.78	1403	8	2098501	8426703	9613734	7716595	6283600	2036106	2202411	2368971
F165	153.0772	197.1	kp15_151.0666		13C/12C,M+H+	192.54	201.7	409	762006694	1.0	0.94	121	8	146961684	266126235	245573171	264871263	225835397	140588038	140536480	132899503
F166	90.9766	147.79	kp1238_89.9693		M0,M+H+	144.4	152.34	24	470208435	1.0	0.94	4181	8	67085566	50408921	49084740	56549272	63067259	66852125	64929255	65427505
F168	236.1758	12.72	_singleton_1760	C13H18N2O	singleton	11.2	14.99	1114	3473087	0.84	0.97	18	2	0	174944	0	3411059	0	0	0	0
F169	236.1758	18.38	kp29_235.1686		M0,M+H+	16.89	22.95	1114	15659628	0.89	0.93	31	7	3157935	121333	0	99665	3136947	3285084	3247800	2780889
F172	236.1758	87.41	_singleton_1763	C13H18N2O	singleton	85.53	89.28	1114	2756195	0.77	0.92	5	7	473350	303055	0	581188	583679	343183	332842	196674
F176	236.9154	139.86	kp22_235.9081		M0,M+H+	135.29	144.4	1115	606575263	1.0	1.0	106348	8	201691141	47502305	46268991	48296163	42750155	200395525	197301088	197489425
F181	153.1023	17.63	_singleton_1771	C8H9NO	singleton	16.13	22.2	410	7712723	1.0	0.92	4	8	1676903	622486	716698	780102	1305178	1421367	1293724	1167956
F183	236.9475	25.2	_singleton_1773	C8H7BrClF	singleton	22.58	28.31	1117	1138291	1.0	0.99	118	5	306149	0	0	0	159279	179538	393020	88553
F184	236.9475	215.89	1774	C8H7BrClF	singleton	212.8	220.12	1117	3929460	1.0	1.0	479	5	845682	0	0	0	746967	734066	849979	772773
F185	191.9802	169.96	1775	C5H8N2OSe	singleton	167.26	174.57	764	3238689	1.0	0.96	131	4	903549	0	0	0	812628	857992	690831	0
F186	192.0656	115.1	_singleton_1776	C10H9NO3	singleton	113.19	118.9	765	19198244	1.0	0.97	1326	8	2066105	2401020	3113740	2626558	2236466	2380885	2070389	2068446
F187	237.0871	113.19	_singleton_1779	C11H9NO4	singleton	111.25	117.79	1118	1104189	1.0	0.93	142	4	310970	0	0	0	0	281242	267687	263803
F188	237.0871	124.55	1780	C11H9NO4	singleton	120.03	129.14	1118	5428652	1.0	0.93	606	4	984506	0	0	0	0	1125483	1413789	1947617
F190	91.0542	15.75	_singleton_2568	C8H6O	M-CO+H[1+]	13.48	20.27	26	13388469	1.0	0.91	256	8	3045908	817002	944090	546153	460155	2464026	2517574	2583792
F191	91.0542	23.7	105943		singleton	22.2	27.15	26	2951363	1.0	0.96	65	8	443634	287038	182900	286566	212130	534170	452557	525756
F192	91.0542	33.71	_singleton_1829	C8H8O2	M-HCOOH+H[1+]	29.08	37.96	26	4248604	1.0	0.93	34	8	1023217	82169	93887	76808	56920	934075	1036370	976509
F194	91.0542	50.32	105945		singleton	46.84	53.78	26	1660340	0.98	0.83	17	8	439479	45160	23578	39427	38081	365795	409514	344574
F195	91.0542	105.71	105946		singleton	101.86	110.04	26	7887692	1.0	0.99	57	8	1244086	472225	705720	748435	606644	1458693	1343027	1271840
F200	192.102	117.79	_singleton_1782	C11H13NO2	singleton	113.19	122.3	766	10708749	1.0	0.92	28	8	1620998	1113121	1168305	1195350	1350200	1453000	1365948	1432762
F201	192.102	125.7	_singleton_1783	C11H13NO2	singleton	122.3	130.28	766	8937266	1.0	0.92	31	8	1260671	958732	931118	1019657	1081141	1241676	1151302	1204260
F203	192.102	168.42	_singleton_1785	C11H13NO2	singleton	163.81	171.49	766	4559182	0.97	0.96	9	8	521947	587497	642705	595279	571393	571250	535360	543613
F204	192.102	173.42	_singleton_1786	C11H13NO2	singleton	171.49	176.51	766	4712533	0.97	0.92	13	8	623502	573062	543197	594582	540545	651072	626708	609533
F207	192.1053	21.82	_singleton_1789	C8H14O2S	singleton	20.27	23.7	767	7127599	1.0	0.99	1654	8	752970	734365	981445	932351	849436	1253127	713461	930389
F208	192.1053	115.86	1790	C8H14O2S	singleton	114.34	117.79	767	5170606	1.0	0.98	1013	8	744608	564156	1006089	678994	428550	618119	686003	454087
F211	238.0018	164.19	1792	C6H5NO6S	singleton	161.13	168.8	1123	3238935	1.0	0.85	139	4	930136	0	0	793619	924454	0	554899	0
F212	192.1132	19.14	1793	C10H10N2O	singleton	16.89	22.95	768	2888859	1.0	0.99	391	4	861016	0	0	0	0	363248	735920	980511
F213	154.0499	25.2	_singleton_1794	C7H7NO3	singleton	24.07	28.31	413	19544131	1.0	0.83	3199	8	2550991	1942514	3080707	3023023	2544437	2630582	2281142	2205932
F214	154.0499	30.23	_singleton_1795	C7H7NO3	singleton	28.31	34.87	413	7621326	1.0	0.97	1020	8	723303	869861	805672	1071109	1211377	1069073	965986	1001895
F215	154.0566	132.21	1801	CH4N4O4	singleton	130.28	136.83	414	18788117	1.0	0.96	301	8	1671668	2691708	2835889	3290770	3001816	1873195	1460353	1689916
F219	92.0706	128.37	kp1241_91.0633		M0,M+H+	123.79	130.67	29	18921710	0.87	0.97	28	8	2274344	2258245	2980463	2697883	2343432	2144308	1964686	1954800
F220	92.0706	131.06	_singleton_1805	C3H6O2	singleton	130.67	135.29	29	13884003	0.88	0.83	25	8	1634786	1723217	2387496	1864496	1893377	1611389	1413536	1263603
F221	92.0706	144.01	_singleton_1806	C3H6O2	singleton	141.72	145.18	29	1810750	0.71	0.93	8	8	184277	326692	378164	345708	330536	89275	135407	106851
F225	192.1383	15.37	_singleton_1809	C12H17NO	singleton	14.23	18.76	769	17063896	1.0	0.92	84	8	2284017	1444828	1754771	1603580	3055545	2408277	2240198	2348015
F226	93.0698	15.75	1811	C7H8	singleton	14.23	17.26	30	750207	1.0	0.98	151	3	117333	0	0	0	0	425908	0	215969
F227	238.0922	194.46	1812	C8H12O7	singleton	191.38	198.62	1126	3614659	1.0	0.97	495	6	515814	687011	647936	572292	0	560537	0	536881
F228	192.1595	24.07	kp24_191.1522		M0,M+H+	22.95	25.97	770	357545168	1.0	0.93	2210	8	44064733	59790526	47182277	38217256	37566066	46248807	42626597	41629919
F229	192.1595	28.31	kp25_191.1522		M0,M+H+	25.97	32.94	770	139412431	1.0	0.84	423	8	16156452	26134656	15935745	14832821	15718927	16914384	17630436	16938830
F230	192.1595	36.4	kp26_191.1522		M0,M+H+	32.94	41.05	770	68873382	1.0	0.95	191	8	8000985	14258153	7890972	6847492	7878387	7965763	8364357	8049845
F231	154.0611	74.12	_singleton_1813	C6H4N2O2	singleton	69.62	78.66	416	1867748	1.0	0.99	16	4	481325	0	415510	0	0	0	516171	508769
F232	154.0611	114.34	1814	C6H4N2O2	singleton	110.04	118.16	416	1450556	1.0	0.99	18	4	237317	0	549042	0	0	0	296559	344860
F234	193.0064	18.01	kp1232_150.9724		M0,ACN	16.51	19.51	771	1562769	1.0	0.98	10	3	474863	0	0	0	0	0	559080	536399
F238	94.0651	111.65	kp27_93.0578		M0,M+H+	106.85	115.86	31	109008642	1.0	0.93	312	8	9105396	20177257	17009485	17274683	17330080	9206792	9199258	8990520
F240	94.9296	138.36	105947		singleton	137.22	142.87	32	21837619	1.0	0.81	2345	8	3415588	2613085	1865288	2125485	2376439	2987565	2988631	2804767
F243	238.1915	18.76	_singleton_1818	C13H20N2O	singleton	16.13	22.95	1128	4238351	1.0	0.99	11	7	833442	74578	0	100969	1042860	859329	831241	795643
F246	238.1915	114.34	_singleton_1821	C13H20N2O	singleton	111.65	118.53	1128	3444453	0.76	0.99	5	7	584033	558625	0	541747	454204	539494	576931	481504
F251	193.0972	24.07	kp11_151.0634		M0,ACN	20.27	28.7	772	32019991	1.0	0.97	518	8	2888475	5043324	5202718	5146984	4985046	3006423	2703989	2747159
F252	193.0972	41.82	_singleton_1826	C10H9NO2	singleton	37.17	46.45	772	8793259	1.0	0.91	84	8	833302	1207548	1442114	1482607	1439044	859886	926199	820629
F253	238.9135	139.49	kp1243_237.9056		M0,M+H+	137.6	142.49	1129	71212700	1.0	0.98	11766	8	14263880	3288718	3532134	3053362	2899502	14026601	14920325	14273735
F260	238.9195	139.49	1832	C5H6Cl4O2	singleton	137.22	142.49	1130	5488418	1.0	0.99	780	4	1423470	0	0	0	0	1489421	1189872	1400660
F262	239.149	23.7	kp1246_238.1418		M0,K/H	20.27	26.75	1131	75606874	1.0	0.95	73	8	14883589	6085258	2731843	4912471	4448934	15522769	15323532	14819291
F263	239.149	29.84	kp30_238.1417		M0,M+H+	26.75	34.49	1131	15980201	1.0	0.94	8	8	3540569	1743321	968917	1327534	996548	3711824	3796185	3583992
F269	194.1176	160.37	kp31_193.1103		M0,M+H+	155.82	164.95	777	453406773	1.0	0.98	13	8	61042508	70339104	71659857	68051584	63582226	61250575	58545463	55524637
F271	239.1755	18.38	_singleton_1835	C13H19NO2	singleton	15.37	22.95	1132	2649766	1.0	0.99	24	5	619000	0	0	135119	683893	572346	601793	0
F272	239.1755	84.0	_singleton_1836	C13H19NO2	singleton	79.43	88.53	1132	1915911	0.93	0.94	7	5	367687	0	0	437986	464200	278143	370744	0
F273	239.1755	103.79	1837	C13H19NO2	singleton	91.5	138.36	1132	7585665	1.0	0.73	10	5	1370711	0	0	1888939	1559935	1613808	1220884	0
F274	194.1652	12.34	_singleton_1838	C11H16N2	singleton	8.91	14.23	778	1751468	0.75	0.86	21	7	43614	127548	0	1352905	92675	70985	55168	37960
F275	194.1652	18.38	_singleton_1839	C11H16N2	singleton	16.89	22.95	778	7494205	1.0	0.97	80	7	1568911	50748	0	69978	1615794	1511469	1450051	1247888
F278	95.0855	16.51	kp1247_94.0782		M0,M+H+	13.86	19.14	34	2426928	1.0	0.95	49	4	513597	0	0	0	0	434474	797246	688974
F279	95.0855	23.7	_singleton_1842	C7H10	singleton	19.14	27.93	34	1433446	1.0	0.99	38	4	369672	0	0	0	0	388212	342583	371808
F280	95.0855	105.33	_singleton_1843	C7H10	singleton	100.72	109.63	34	4437849	1.0	1.0	169	4	1097435	0	0	0	0	1166379	1047546	1087031
F281	239.2231	13.48	_singleton_1850	C13H26N4	singleton	11.2	14.61	1133	2030293	0.87	0.94	16	2	0	187742	0	1862953	0	0	0	0
F282	239.2231	19.14	_singleton_1851	C13H26N4	singleton	16.51	23.7	1133	9552367	1.0	0.96	41	7	1866276	29079	0	144116	2166943	2015422	1724600	1662621
F288	240.0899	182.66	_singleton_1857	C8H15NO4S	singleton	178.44	187.18	1134	9215522	1.0	0.95	1446	8	880116	2472723	1392687	1222903	1065158	950893	786444	637450
F289	154.0975	18.38	_singleton_1859	C7H8N2O	singleton	16.51	21.82	419	5219515	0.82	0.99	4	8	975023	128319	215574	194690	1161116	1292024	989017	956333
F290	154.0975	51.47	_singleton_1860	C7H8N2O	singleton	46.84	56.1	419	23906050	0.85	0.88	23	8	3787397	2917469	2767233	2866337	2639690	3738194	3404948	3574097
F292	240.102	92.63	kp32_239.0947		M0,M+H+	90.76	97.23	1135	127288107	1.0	0.93	16032	8	18417386	10595623	12799365	13338990	11583476	19948734	17557153	18567835
F294	96.0444	32.55	_singleton_1867	C5H5NO	singleton	27.93	37.17	35	49189988	1.0	0.98	40	8	5091681	7376787	7959448	8180894	8000365	5079807	5385209	5064954
F295	240.1442	17.26	1869	C9H18O6	singleton	15.75	19.14	1136	1069615	1.0	0.95	215	2	475032	0	0	0	0	0	0	604586
F303	195.0989	75.99	1754	C9H16O3	singleton	74.12	78.66	781	2260501	1.0	1.0	366	4	503077	0	0	0	0	529662	693797	501682
F308	154.1227	105.71	kp33_153.1154		M0,M+H+	102.25	110.04	420	96976213	1.0	0.99	202	8	23838837	788775	1191539	874007	768582	25081987	21906693	22023196
F310	240.1707	19.14	_singleton_1881	C12H18N2O2	singleton	16.51	23.32	1138	2772188	1.0	0.99	204	6	457634	26811	0	0	678314	584086	567480	476870
F314	195.1129	129.14	kp1245_153.079		M0,ACN	124.55	133.76	782	14553424	1.0	0.94	30	8	1771160	1948316	1896370	1911206	1760303	1729126	1837321	1589179
F315	195.1129	176.12	_singleton_1887	C10H11NO2	singleton	173.42	180.75	782	4654526	1.0	0.74	6	8	597604	562327	627043	587687	526657	622643	669236	594075
F316	97.0396	22.58	1891	C4H4N2O	singleton	18.01	27.15	36	1674524	1.0	0.97	25	4	491608	0	0	0	0	427988	463382	381147
F319	154.1339	114.72	_singleton_1894	C8H12N2	singleton	111.65	118.53	421	18202535	0.86	0.93	9	8	2385826	2572269	2855921	2377189	2070966	2364794	1913634	1693383
F320	154.1339	125.32	_singleton_1895	C8H12N2	singleton	121.92	125.7	421	18422678	0.91	0.92	11	8	2195149	2676537	3235250	2713424	2097084	2100182	1582049	1782150
F321	154.1339	129.14	1896	C8H12N2	singleton	125.7	133.76	421	37403144	0.9	0.91	13	8	4089967	6062747	6149899	5625605	4597242	4221313	3354672	3131612
F324	98.0576	175.35	1897	C3H9NO	singleton	171.88	179.98	40	11541314	1.0	0.98	699	8	1523749	905078	1394355	1651477	1498173	1532978	1457964	1599540
F336	240.9673	147.04	kp35_239.96		M0,M+H+	143.25	151.56	1140	832742843	1.0	1.0	96571	8	161945905	115809067	114424483	130166299	154477400	161061524	159592029	157664305
F338	195.1228	23.32	kp37_194.1155		M0,M+H+	19.51	25.97	784	106970614	1.0	0.96	59	8	18233247	5644229	6366132	7394322	5643535	20867376	22056632	24357409
F342	241.0312	225.79	_singleton_1908	C6H12N2O4S2	singleton	221.64	230.29	1141	24937249	0.83	0.82	17	6	1179164	3438590	4421112	6444904	8356004	0	1165705	0
F348	155.0752	131.83	1912	C6H9BNO3	singleton	130.28	136.45	425	12108697	1.0	0.94	1089	8	1284039	1819734	1659455	1763137	1850124	1341123	1133605	1089945
F360	241.0932	36.02	kp1252_240.0858		M0,M+H+	32.55	40.67	1143	7213136	1.0	0.89	668	6	1366294	0	0	916628	905523	1357870	1394867	1298486
F361	241.0932	44.15	kp1253_240.0858		M0,M+H+	40.67	47.22	1143	3937515	1.0	0.89	370	6	735182	0	0	442032	569378	739247	761508	806970
