id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F1	83.0603	170.72	168.8	175.35	0	68233281	1.0	0.89	5	8	11999810	13963539	13572898	12448054	11857819	11774404	10883477	10342329
F2	84.0444	106.47	101.86	110.84	1	4849169	0.31	0.9	8	8	686422	465511	738836	723898	624846	661066	708129	670091
F3	84.0444	173.81	169.18	178.44	1	223323080	1.0	0.9	54	8	5537018	57663278	52570450	47681862	43934538	5592467	5494101	5333602
F4	84.0444	196.35	192.16	200.92	1	168822841	1.0	0.85	55	8	31505539	8896918	8344411	10567488	20144492	30488967	30534878	28300374
F5	150.9769	141.72	139.49	144.01	386	4275085	0.67	0.99	1054	5	1054594	0	0	0	402202	971670	852678	911794
F6	150.9978	149.65	147.79	153.1	387	4748541	1.0	0.99	714	4	1264368	0	0	0	0	1134894	1266462	1085707
F7	84.0808	129.52	126.09	134.14	2	33239848	1.0	0.92	32	8	3605623	3876308	4956308	5571413	5738826	3562333	3256920	3194580
F8	84.0808	137.22	134.14	138.36	2	7283023	0.55	0.74	7	8	714509	764285	1291498	1234314	1640106	686362	777546	728557
F9	84.0808	228.41	223.91	232.91	2	101063770	1.0	0.93	34	8	5760663	21326425	20249296	18505246	18044634	6736338	6028273	6259698
F10	84.9112	140.61	137.22	144.79	3	19392709	1.0	0.95	2794	8	2309461	2327218	2307391	2325516	2206086	2491726	2258420	2390432
F11	151.0616	37.57	32.94	41.05	388	7650606	0.93	0.76	30	8	950822	825097	1080694	1002974	1158873	979590	897599	969991
F12	151.0616	65.54	61.8	68.51	388	10462697	1.0	0.92	24	8	1429158	1139811	971744	1128466	1228619	1455095	1575916	1610632
F13	151.0616	103.01	99.17	104.57	388	1086908	0.26	0.58	2	8	144271	106595	146985	129591	154351	154706	164016	181479
F14	151.0616	131.83	127.23	136.45	388	18418071	1.0	0.94	55	8	1805904	2633239	2689653	2785049	2825699	1982693	1842368	1751270
F15	151.0616	144.01	142.49	145.18	388	671948	0.35	0.73	2	8	100129	81702	48820	103765	84879	68232	125136	138455
F16	151.0616	161.9	160.75	163.43	388	503234	0.36	0.69	2	8	63165	43199	28442	17570	93016	125347	110402	70709
F17	85.0284	94.15	91.87	95.32	5	941349	0.83	0.85	19	8	131167	77601	106456	91553	110863	117981	129566	151143
F18	85.0284	136.83	134.14	137.98	5	2092634	1.0	0.99	15	8	316656	66635	253788	236899	272591	351486	301914	278273
F19	85.0284	160.0	156.58	164.57	5	56632542	1.0	0.97	553	8	5783923	8407035	8277236	7987076	7212252	6164669	5532261	5721389
F20	85.0284	174.19	171.88	178.05	5	2096889	0.92	0.83	21	8	88161	503115	452623	428286	354254	81220	97346	108884
F21	85.0284	182.66	180.36	187.18	5	6186333	1.0	0.84	65	8	724610	1039429	836551	689636	676299	870178	693923	753777
F22	85.0284	196.72	194.46	200.92	5	2733026	0.91	0.87	24	8	586733	120513	134549	181701	169837	460318	546574	530194
F23	85.0477	173.42	171.88	178.05	6	9747587	1.0	0.86	106	8	243954	2629149	2210964	2199447	1939862	196775	175157	169279
F24	85.0477	196.72	192.54	201.32	6	7073850	1.0	0.85	117	8	1371539	355813	370066	480133	847881	1158668	1245192	1245840
F25	151.0866	18.38	17.26	22.58	389	19811474	1.0	0.96	62	8	3255743	1974753	2196880	2194339	2125693	2848780	3078952	2638776
F26	151.0866	80.57	77.13	83.62	389	2530552	0.21	0.93	2	8	232612	444123	644387	582274	581148	242290	224473	263405
F27	151.0866	106.85	104.19	111.25	389	2300794	0.22	0.85	2	8	377704	308063	411231	425313	414865	343807	407357	405994
F28	85.076	18.76	16.51	21.43	7	2813859	0.16	0.99	2	7	504099	65769	0	111982	762173	666361	658217	551877
F29	85.076	94.54	92.25	96.85	7	2735929	0.17	0.83	2	7	512031	400563	0	520120	409515	494461	437309	442566
F30	86.06	37.17	32.55	41.82	8	22457841	1.0	0.99	45	8	2711168	2680754	3754521	3449047	3116657	2642881	2695416	2576481
F31	86.06	46.45	42.2	51.09	8	2993745	0.2	0.97	6	8	457618	506178	531345	584919	570310	501656	498062	479195
F32	86.06	129.9	125.32	132.6	8	4259064	0.21	0.82	2	8	650910	474163	645993	643742	533679	717300	713692	695868
F33	86.06	160.0	155.42	163.43	8	11091882	1.0	0.93	5	8	1525579	1503260	1548896	1395382	1378106	1497071	1551499	1352503
F34	86.06	176.51	173.81	181.14	8	7620237	0.85	0.68	3	8	1133677	1010149	1110329	999379	1038902	1124055	1085174	1050505
F35	151.0965	23.7	21.04	28.31	390	10018217	1.0	0.9	135	8	1875388	402623	572633	334886	336866	1985390	2351766	2324929
F36	151.0965	223.15	219.73	224.67	390	1377256	0.16	0.56	2	8	194506	94414	90416	112212	152329	248680	318292	272201
F37	151.0965	232.16	231.41	234.06	390	706620	0.18	0.87	2	8	190677	58139	14583	52569	95767	87227	138810	101090
F38	86.0712	74.12	71.51	78.66	10	4741406	1.0	0.98	19	7	560225	844757	654634	734443	782837	0	566569	544542
F39	86.0712	116.24	111.65	118.9	10	1246975	0.49	0.72	6	7	219196	188235	169190	237020	212346	0	130103	118747
F40	86.0712	128.76	124.17	132.21	10	2784551	0.71	0.95	8	7	301156	468106	501548	425276	414232	0	342514	320060
