id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F41	86.0964	19.14	15.75	22.95	11	8962671	0.54	0.74	2	8	2275868	2101105	1491236	1361284	2049933	1776198	1807628	2064127
F42	86.0964	98.39	95.32	103.01	11	55767959	0.86	0.81	9	8	6997662	7082474	9486365	8691270	7864387	7133687	6980712	7287032
F43	86.0964	121.55	117.02	124.93	11	242287749	1.0	0.93	88	8	30167964	34177981	35298796	31839985	28873098	30836950	28127983	29552342
F44	86.0964	127.23	124.93	131.83	11	374343022	1.0	0.92	118	8	46605025	46634612	49776484	50206916	46687347	46920777	43387025	41277107
F45	86.9086	140.61	137.6	144.4	12	8504591	1.0	0.91	1309	8	877396	1141191	976950	944300	1038210	927729	1102062	1066197
F46	151.123	7.39	2.78	10.82	393	3900467	1.0	0.78	4	7	397715	2123397	0	499061	366866	416445	414272	341321
F47	151.123	12.72	10.82	14.61	393	2724930	1.0	0.99	5	7	164843	187559	0	1970141	242592	234204	149702	132948
F48	151.123	19.14	16.13	23.32	393	10341736	1.0	0.99	14	7	2168878	190637	0	203614	2239253	2111816	1926815	2021073
F49	151.123	84.38	75.23	87.41	393	3787725	0.58	0.8	2	7	659064	802942	0	769619	637817	658322	664098	527712
F50	151.123	178.05	173.42	182.66	393	1979073	0.34	0.94	2	7	385087	346639	0	346096	344607	473686	447780	355862
F51	151.1441	174.96	171.88	179.6	394	342479661	1.0	0.99	54011	8	38467568	48056195	42168994	46474557	48724079	39637168	40253414	38718686
F52	87.044	170.72	167.65	173.81	13	653724	1.0	1.0	18	6	106774	119278	119348	127521	112212	81127	0	0
F53	87.044	176.51	173.81	181.14	13	2562108	1.0	0.99	68	6	558823	367101	426069	377019	315927	537178	0	0
F54	87.044	203.22	198.62	207.81	13	3851735	1.0	0.97	124	6	571635	694142	692683	689265	690543	564975	0	0
F55	151.9796	10.05	0.52	14.23	395	3901864	1.0	0.71	6	3	1402815	0	0	0	0	0	1228621	1255426
F56	151.9796	17.63	16.13	19.88	395	1541055	1.0	0.99	13	3	443214	0	0	0	0	0	478622	617422
F57	152.0376	172.65	169.96	177.28	396	8999644	0.89	0.78	80	8	842510	1330347	1408159	1420130	1342289	1056324	598902	1052780
F58	152.0542	37.17	33.71	39.9	397	1750724	1.0	0.91	198	8	228851	196756	319747	255187	202463	194626	228717	141377
F59	152.0542	131.83	130.28	136.45	397	13216251	1.0	0.93	1884	8	1315327	1977110	1872857	2061450	2009268	1381650	1136841	1226140
F60	87.0998	98.39	95.7	102.63	14	3118531	0.88	0.76	18	8	354068	380516	514516	439518	392702	383044	308703	335876
F61	87.0998	121.92	120.03	124.93	14	12778757	1.0	0.89	248	8	1602183	1775030	1739561	1633151	1525282	1503962	1487485	1526103
F62	87.0998	127.23	124.93	131.83	14	21229913	1.0	0.94	331	8	2488388	2726570	2785179	2766678	2680684	2509701	2464673	2296240
F63	88.0505	7.01	5.86	10.05	15	1664152	1.0	0.92	15	6	10948	1601125	0	42296	13076	13028	0	8816
F64	88.0505	12.72	10.05	14.99	15	2270997	1.0	0.96	19	5	0	184983	0	2016702	58159	11815	0	13409
F65	88.0505	19.14	16.89	23.32	15	7437598	1.0	0.98	41	7	1441283	149403	0	73406	1500259	1338192	1463075	1479949
F66	88.0578	196.72	192.92	200.92	16	84288325	1.0	0.89	225	8	7509801	14433238	13154669	13963877	12091389	7579447	7519156	6996895
F67	152.0706	17.63	14.61	19.88	398	16095319	0.53	0.99	7	8	3334546	2174746	2897736	2411634	1563223	947791	3022436	2738227
F68	152.0706	22.2	19.88	26.75	398	18692787	0.52	0.88	7	8	2151550	3183720	3964091	3390140	3666001	2490081	2164950	2152469
F69	152.0706	106.85	102.25	109.23	398	49654931	1.0	0.67	10	8	5387080	6586908	10814126	8630068	6699766	5325419	5162785	5066239
F70	152.0706	113.57	109.23	118.16	398	83283992	1.0	0.92	13	8	9666892	12053363	15317597	13147504	10962515	9789244	8479613	8157003
F71	152.0738	197.1	194.46	201.7	399	62867273	1.0	0.79	284	8	5794903	11657329	10726259	9701266	7109051	5870984	5699071	5557703
F72	88.0757	7.39	5.86	9.29	17	4586159	0.92	0.98	2	8	402014	4211303	428875	350674	379567	377042	396895	319230
F73	88.0757	12.72	11.2	14.23	17	5046759	1.0	0.99	2	8	317751	426555	343564	4732728	323662	389355	374903	332449
F74	88.0757	19.14	16.51	22.95	17	25334783	1.0	0.99	7	8	5965361	886983	689998	706799	5178568	4725436	5673788	5694269
F75	88.0757	106.09	103.4	108.42	17	5041470	0.26	0.93	2	8	1034977	1031678	1192201	1048242	1000646	1025806	981474	962345
F76	88.0757	129.52	111.65	137.6	17	44002064	1.0	0.74	3	8	7589919	6274846	7475802	7338721	7805250	7490557	8027290	7526537
F77	152.107	16.89	14.61	21.43	400	3368082	1.0	0.84	21	4	912030	0	0	0	0	740279	798901	1009867
F78	189.074	85.53	82.48	88.16	747	14191055	0.68	0.9	13	8	1647773	1775595	1777465	1823201	1820937	1816924	1890484	1699832
F79	189.074	112.81	110.84	117.41	747	129493971	1.0	0.88	3114	8	15067049	16380649	17191291	18818455	16687801	15865985	14474379	13783288
F80	189.0871	188.32	186.8	191.76	748	3276532	0.84	0.94	21	4	806980	0	0	0	0	899840	761190	822522
F81	189.0871	205.12	202.46	209.73	748	2873099	0.86	0.67	267	4	754981	0	0	0	0	704801	702416	730901
F82	189.0871	218.96	215.49	220.5	748	716862	0.68	0.58	21	4	202718	0	0	0	0	169293	171029	187822
F83	189.0871	223.54	220.5	227.66	748	10720988	0.86	0.74	191	4	50296	0	0	0	0	6253999	90235	4530541
F84	189.0871	234.44	230.67	238.64	748	31049571	1.0	0.93	622	4	2799603	0	0	0	0	15426712	1788358	11056898
F85	152.1182	6.24	2.02	8.53	401	3149315	0.83	0.73	4	7	354245	1081176	0	524119	397087	403370	367724	297229
F86	152.1182	12.72	8.53	15.37	401	3019891	0.92	0.78	5	7	349059	106599	0	878207	670095	566200	338122	322442
F87	152.1182	18.38	15.37	22.95	401	3792692	1.0	0.99	9	7	766269	34817	0	23756	860043	740021	731507	883919
F88	152.1182	80.95	76.37	85.53	401	2220539	0.46	0.67	3	7	339371	367296	0	333356	439744	325114	376496	350300
F89	152.1182	113.95	110.44	118.16	401	1441452	0.37	0.91	2	7	320763	211666	0	169612	259120	278759	194423	263698
F90	152.1182	128.76	119.27	137.6	401	3958303	0.39	0.63	2	7	629766	671324	0	496487	714513	770388	540845	708961
F91	152.1182	260.41	256.21	263.85	401	1711310	0.39	0.8	2	7	335326	119843	0	381474	396403	290096	171007	267992
F92	88.112	6.24	4.69	8.53	18	7108208	0.82	0.95	11	7	927055	1364965	0	1035796	994789	871426	978939	858983
F93	88.112	11.96	8.53	16.51	18	11779734	0.82	0.96	10	7	1528337	1433725	0	2156916	1851151	1601844	1618189	1484424
F94	88.112	18.76	16.51	23.32	18	8071422	0.82	0.84	10	7	1271901	1120576	0	786070	1150841	1087362	1516212	1119029
F95	88.112	26.75	24.07	31.37	18	5912434	0.57	0.82	5	7	892367	1251659	0	916887	768139	799426	763406	711306
F96	88.112	42.98	39.13	46.45	18	6330850	0.57	0.95	6	7	880477	1424506	0	860727	893724	824608	791628	813333
F97	88.112	78.27	73.38	88.9	18	4065973	0.67	0.92	8	7	447561	947941	0	589530	658862	569035	432237	490605
F98	88.112	103.79	91.5	121.92	18	5296139	0.65	0.76	6	7	885385	888654	0	703160	598385	803869	741209	772301
F99	152.1434	16.51	13.86	18.38	402	1811717	1.0	0.99	226	4	580574	0	0	0	0	407886	284594	541433
F100	235.1189	37.57	34.1	41.43	1108	14834784	1.0	0.8	1448	8	2703857	833759	1145974	1113325	934838	2770572	2824071	2627088
F101	235.1189	43.37	41.43	47.6	1108	10826552	1.0	0.99	1315	8	1845329	1147490	730468	830469	679466	2020687	1888659	1938287
F102	89.0597	24.07	22.2	28.7	19	1888637	1.0	0.98	319	4	463427	0	0	0	0	494837	446050	516139
F103	152.1475	174.96	172.65	179.21	403	22633605	1.0	0.99	3577	8	2345430	2974008	3355916	3430977	3080803	2492723	2549063	2422685
F104	189.1235	136.83	132.21	137.98	749	1941743	0.94	0.97	20	8	284141	118949	215631	221512	232291	274280	226378	337764
F105	189.1235	160.37	157.74	164.57	749	13738158	1.0	0.97	193	8	1755878	1957309	2028291	1518186	1327929	1574174	1653527	1736865
F106	189.1235	169.18	164.57	171.49	749	3165407	0.91	0.51	16	8	314872	529689	586917	422226	343393	359103	297374	318517
F107	189.1235	176.89	173.81	178.05	749	2093504	0.92	0.83	21	8	332576	138967	214118	259059	304310	317449	265397	273628
F108	189.1235	181.52	178.05	182.66	749	8036932	1.0	0.92	148	8	1045617	838976	830588	778565	751129	1277563	1209581	1317913
F109	189.1235	211.26	207.81	214.72	749	4070222	0.96	0.98	27	8	806930	283900	241108	214768	155722	834641	794104	758049
F110	235.1692	14.99	13.48	18.01	1109	943716	1.0	0.9	152	1	956721	0	0	0	0	0	0	0
F111	189.1275	15.75	14.23	17.63	750	716700	1.0	0.99	44	3	396436	0	0	0	0	0	103494	226774
F112	235.9206	139.49	137.6	142.49	1110	189609535	1.0	0.98	31386	8	38805098	7926558	8954411	8807308	8415699	37717001	37865981	38429832
F113	189.1316	161.13	156.58	165.72	751	12437980	1.0	0.89	1378	8	1022621	1860101	1992556	2019719	1628122	1250661	1156780	1076515
F114	153.011	37.17	32.55	41.82	404	3090212	0.18	0.88	2	5	15114	3052356	0	0	0	15113	20704	9302
F115	153.011	252.39	247.81	256.97	404	13896694	0.26	0.82	4	5	3527812	704457	0	0	0	3390579	3167744	3159493
F116	189.1347	215.49	212.04	220.12	752	54169388	1.0	0.78	170	8	3470360	18398073	9987383	6800291	5915263	3343012	2951642	2915771
F117	189.1347	227.29	223.91	231.41	752	17876561	0.83	0.79	58	8	319344	5165647	5441591	3568784	2658779	461835	274856	319107
F118	236.0064	164.19	161.9	168.8	1111	12710517	1.0	0.67	135	6	2484493	0	0	2088521	2585279	2217655	1631830	1656219
F119	236.0064	178.05	175.35	181.91	1111	1452570	0.52	0.67	130	6	348493	0	0	60549	151886	329865	272679	307098
F120	236.0064	186.04	184.15	186.42	1111	646972	0.51	0.81	127	5	183354	0	0	0	40461	118272	173918	137967
F121	189.1599	250.48	246.66	255.06	753	72810355	1.0	0.97	40	8	4064661	10231460	16335321	15389845	11127799	5533655	3676437	5072650
F122	189.2043	24.82	22.95	26.75	754	2681936	1.0	0.99	128	4	697805	0	0	0	0	697009	693075	621320
F123	153.0635	136.05	131.45	138.74	405	2637886	0.82	0.92	10	7	301738	407993	505178	482218	389295	0	306820	239308
F124	153.0635	144.4	142.87	145.92	405	645829	0.51	0.98	6	7	114703	99064	148139	104540	95059	0	130091	96801
F125	153.0635	151.18	148.16	155.82	405	8482342	0.85	0.64	34	7	1215966	1027360	1462017	1184376	1278680	0	971680	977211
F126	153.0635	162.28	160.37	164.19	405	1410234	0.79	0.98	13	7	113022	226965	322996	242490	192456	0	98161	143406
F127	153.0635	168.8	164.19	173.42	405	4053431	0.87	0.91	15	7	543423	555740	786152	700528	531409	0	453315	461131
F128	153.0635	180.75	176.51	183.04	405	2853582	0.87	0.67	21	7	347435	416513	606785	436148	441337	0	321652	294488
F129	190.0169	17.63	16.13	18.76	755	1901693	0.4	0.95	363	4	574699	0	0	0	0	27915	732837	499764
F130	236.1394	7.01	4.69	10.82	1112	860568	1.0	0.99	78	1	0	888688	0	0	0	0	0	0
F131	236.1394	18.01	16.13	22.58	1112	2337949	1.0	0.95	128	5	696112	80339	0	0	0	332728	637854	608924
F132	89.0709	7.01	5.47	8.91	20	729371	0.57	0.97	4	2	0	758947	20946	0	0	0	0	0
F133	89.0709	12.34	11.58	14.23	20	985573	0.77	0.87	5	6	0	31089	23180	934016	12680	0	11888	13138
F134	89.0709	19.14	16.89	23.32	20	6934287	1.0	0.88	23	8	1292839	25162	34893	70306	1854768	1201597	1203520	1344441
F135	89.0709	106.47	102.63	111.25	20	3917937	1.0	0.87	9	8	236829	681112	1161441	735228	481247	180906	276944	273717
F136	89.0709	120.41	119.27	122.3	20	479634	0.24	0.77	2	7	0	76163	71007	148030	43399	85001	40452	61052
F137	89.0709	134.14	129.52	138.74	20	4521820	0.67	0.74	4	8	464886	636297	701743	821503	540099	504328	470707	461012
F138	89.0709	144.01	140.61	145.18	20	968352	0.31	0.75	2	8	182591	88950	165031	112912	159977	138352	99847	144398
F139	190.0774	112.81	111.25	117.41	756	6005633	1.0	0.87	1276	8	632957	787160	886179	969332	793795	621341	668424	600481
F140	190.1187	163.81	161.9	168.03	757	4548132	1.0	0.78	119	8	438620	782331	943906	619466	518325	435958	386668	407914
F141	190.1187	174.96	171.11	179.6	757	15827418	1.0	0.95	561	8	1731177	2407285	2574554	2260271	1961050	1729967	1574824	1611290
F142	190.1187	195.23	192.92	197.1	757	931589	0.86	0.88	34	8	190938	39657	37132	26581	160746	126143	195954	166438
F143	153.0659	25.2	23.7	27.93	406	161275422	1.0	0.86	260	8	20961387	16330273	25603419	24483934	19904713	22089108	19491854	19105795
F144	153.0659	29.84	27.93	34.49	406	77885012	1.0	0.96	97	8	8622847	9103346	9185290	11769017	12379459	10444950	9075637	9733681
F145	153.0659	107.23	102.63	109.63	406	2792089	0.13	0.6	2	8	465216	387739	615011	467327	430005	462778	687570	588362
F146	153.0659	203.98	200.54	208.2	406	8236879	0.59	0.85	2	8	850696	1569946	1709549	1207976	1245354	991566	1257678	984390
F147	90.0549	160.75	156.2	162.66	21	323504794	1.0	0.64	87	8	29325007	29215234	26890631	26022855	24438027	30201196	29953497	27175688
F148	90.0549	163.81	165.34	168.42	21	144635461	0.6	0.84	33	8	5690380	7086168	5588090	6730322	5189499	5798687	4970649	5552605
F149	90.0549	173.81	171.88	178.44	21	78919194	0.81	0.63	16	8	12981474	6899922	6321338	6817392	9153375	13364427	12304032	12452626
F150	236.1646	24.07	22.95	26.75	1113	764662	0.85	0.89	9	4	280146	0	0	0	0	212526	107201	175789
F151	236.1646	33.71	29.46	38.35	1113	2458077	0.85	0.94	12	4	549329	0	0	0	0	613453	644228	675067
F152	236.1646	55.71	51.47	60.29	1113	14795332	1.0	0.99	78	4	3838459	0	0	0	0	3935355	3532299	3513219
F153	236.1646	65.54	64.02	67.02	1113	895415	0.97	0.95	13	4	172179	0	0	0	0	269623	308138	154475
F154	236.1646	123.79	120.79	125.32	1113	659481	0.75	0.77	8	4	175711	0	0	0	0	144517	186637	165616
F155	190.1438	18.01	16.51	20.27	758	1782823	1.0	0.99	335	3	634545	0	0	0	0	0	739355	419927
F156	190.9928	169.96	168.42	174.19	759	13057362	1.0	0.96	2308	8	1602250	1646352	1511671	1379780	1224197	1701321	1975607	2032184
F157	191.0404	173.81	171.49	177.67	760	40729621	1.0	0.78	1403	8	2098501	8426703	9613734	7716595	6283600	2036106	2202411	2368971
F158	191.0404	182.66	180.75	187.18	760	9101571	0.82	0.63	527	7	87735	1697614	2358336	2806637	2138466	22095	0	8688
F159	90.0913	19.51	18.01	21.43	23	4321325	0.22	0.99	2	8	1483583	458922	545265	650059	1060011	1258952	1415506	1406578
F160	153.074	17.63	15.75	19.88	408	617365	0.55	0.97	18	4	260127	0	90115	82756	0	0	192615	0
F161	153.074	21.82	19.88	23.7	408	562547	0.54	0.99	18	4	138215	0	168087	179563	0	0	85190	0
F162	153.074	106.85	102.63	109.63	408	2237960	1.0	0.72	18	4	380337	0	803429	648742	0	0	422827	0
F163	153.074	113.57	109.63	118.16	408	3465190	1.0	0.96	23	4	734147	0	1172201	929148	0	0	576473	0
F164	191.0663	210.11	208.2	214.72	761	10786764	1.0	0.67	597	8	1183348	1412281	1582301	1685045	1511382	1223256	1163668	1043483
F165	153.0772	197.1	192.54	201.7	409	762006694	1.0	0.94	121	8	146961684	266126235	245573171	264871263	225835397	140588038	140536480	132899503
F166	90.9766	147.79	144.4	152.34	24	470208435	1.0	0.94	4181	8	67085566	50408921	49084740	56549272	63067259	66852125	64929255	65427505
F167	191.118	17.63	16.13	22.2	762	1227760	1.0	0.85	59	2	611086	0	0	0	0	0	633681	0
F168	236.1758	12.72	11.2	14.99	1114	3473087	0.84	0.97	18	2	0	174944	0	3411059	0	0	0	0
F169	236.1758	18.38	16.89	22.95	1114	15659628	0.89	0.93	31	7	3157935	121333	0	99665	3136947	3285084	3247800	2780889
F170	236.1758	24.82	24.07	29.46	1114	1361822	0.44	0.52	2	7	270246	252121	0	198545	249143	153581	217291	213770
F171	236.1758	80.95	78.27	85.53	1114	5276487	0.51	0.83	4	7	764339	918943	0	796028	869012	693629	770715	674165
F172	236.1758	87.41	85.53	89.28	1114	2756195	0.77	0.92	5	7	473350	303055	0	581188	583679	343183	332842	196674
F173	236.1758	104.19	98.79	109.23	1114	3597575	0.55	0.72	3	7	549350	565992	0	563396	590886	542696	518383	493351
F174	236.1758	114.72	111.65	117.79	1114	2011612	0.55	0.77	2	7	349169	325542	0	313331	313431	291517	325944	267184
F175	236.1758	120.03	118.53	121.92	1114	829033	0.52	0.8	2	7	179995	187720	0	122982	124898	102059	139373	74657
F176	236.9154	139.86	135.29	144.4	1115	606575263	1.0	1.0	106348	8	201691141	47502305	46268991	48296163	42750155	200395525	197301088	197489425
F177	236.921	138.74	137.98	142.1	1116	15480125	1.0	0.69	2684	5	5029241	1396416	0	1383405	0	0	3969962	3713101
F178	191.1543	5.86	1.28	8.53	763	58390795	0.58	0.93	7	8	8575528	7502449	2135523	9482524	8046203	8707054	8202084	7524415
F179	191.1543	17.63	15.75	22.2	763	25133389	0.62	0.94	5	8	5819967	1279389	1696119	1681561	3954888	4089020	6018124	5122442
F180	191.1543	24.82	22.2	27.54	763	11855722	0.7	0.96	3	8	1944870	2124480	2068430	2030304	2171096	1996446	1812914	1727104
F181	153.1023	17.63	16.13	22.2	410	7712723	1.0	0.92	4	8	1676903	622486	716698	780102	1305178	1421367	1293724	1167956
F182	153.1023	94.54	92.63	98.39	410	3121199	0.15	0.66	2	8	574364	497379	582332	549242	617309	544196	524257	459662
F183	236.9475	25.2	22.58	28.31	1117	1138291	1.0	0.99	118	5	306149	0	0	0	159279	179538	393020	88553
F184	236.9475	215.89	212.8	220.12	1117	3929460	1.0	1.0	479	5	845682	0	0	0	746967	734066	849979	772773
F185	191.9802	169.96	167.26	174.57	764	3238689	1.0	0.96	131	4	903549	0	0	0	812628	857992	690831	0
F186	192.0656	115.1	113.19	118.9	765	19198244	1.0	0.97	1326	8	2066105	2401020	3113740	2626558	2236466	2380885	2070389	2068446
F187	237.0871	113.19	111.25	117.79	1118	1104189	1.0	0.93	142	4	310970	0	0	0	0	281242	267687	263803
F188	237.0871	124.55	120.03	129.14	1118	5428652	1.0	0.93	606	4	984506	0	0	0	0	1125483	1413789	1947617
F189	153.1386	23.32	21.04	26.36	411	3298208	0.05	0.96	2	8	650236	730443	702560	635779	683296	594280	484441	555972
F190	91.0542	15.75	13.48	20.27	26	13388469	1.0	0.91	256	8	3045908	817002	944090	546153	460155	2464026	2517574	2583792
F191	91.0542	23.7	22.2	27.15	26	2951363	1.0	0.96	65	8	443634	287038	182900	286566	212130	534170	452557	525756
F192	91.0542	33.71	29.08	37.96	26	4248604	1.0	0.93	34	8	1023217	82169	93887	76808	56920	934075	1036370	976509
F193	91.0542	43.37	39.9	46.84	26	1983794	0.96	0.69	13	8	463928	68632	36241	88328	45430	504295	425756	421506
F194	91.0542	50.32	46.84	53.78	26	1660340	0.98	0.83	17	8	439479	45160	23578	39427	38081	365795	409514	344574
F195	91.0542	105.71	101.86	110.04	26	7887692	1.0	0.99	57	8	1244086	472225	705720	748435	606644	1458693	1343027	1271840
F196	91.0542	114.72	110.04	117.79	26	5265794	1.0	0.84	35	8	607288	616300	844189	763332	613379	600978	584546	541751
F197	91.0542	138.74	136.45	142.1	26	1930000	1.0	0.78	17	8	115758	420837	218485	370219	414165	106955	71523	130133
F198	91.0542	169.18	164.57	173.04	26	910485	0.88	0.82	6	8	26079	150733	123160	137119	119624	94759	138653	132528
F199	237.9187	139.49	137.6	142.1	1121	40687457	1.0	0.99	6906	8	8205732	1846672	1918026	1669187	1710127	8547906	7993863	8155543
F200	192.102	117.79	113.19	122.3	766	10708749	1.0	0.92	28	8	1620998	1113121	1168305	1195350	1350200	1453000	1365948	1432762
F201	192.102	125.7	122.3	130.28	766	8937266	1.0	0.92	31	8	1260671	958732	931118	1019657	1081141	1241676	1151302	1204260
F202	192.102	150.8	148.91	155.42	766	1700747	0.57	0.63	3	8	194769	283718	255154	278679	166157	174678	155610	182391
F203	192.102	168.42	163.81	171.49	766	4559182	0.97	0.96	9	8	521947	587497	642705	595279	571393	571250	535360	543613
F204	192.102	173.42	171.49	176.51	766	4712533	0.97	0.92	13	8	623502	573062	543197	594582	540545	651072	626708	609533
F205	192.102	186.04	184.15	187.18	766	641090	0.42	0.75	2	7	87139	191471	117111	16396	77407	0	68461	115034
F206	153.979	253.15	248.57	257.74	412	27889906	0.22	0.63	4	7	6416553	1186927	0	1057961	1028300	6022787	6193401	5959017
F207	192.1053	21.82	20.27	23.7	767	7127599	1.0	0.99	1654	8	752970	734365	981445	932351	849436	1253127	713461	930389
F208	192.1053	115.86	114.34	117.79	767	5170606	1.0	0.98	1013	8	744608	564156	1006089	678994	428550	618119	686003	454087
F209	237.9789	262.7	258.5	267.29	1122	29748486	0.42	0.89	5	8	3149478	6484228	4829758	4651635	4319374	1917086	2765646	1563210
F210	237.9789	282.34	280.4	286.2	1122	14978377	0.34	0.57	3	8	1338715	2466602	2519440	2425223	2329410	1251095	1220024	1276977
F211	238.0018	164.19	161.13	168.8	1123	3238935	1.0	0.85	139	4	930136	0	0	793619	924454	0	554899	0
F212	192.1132	19.14	16.89	22.95	768	2888859	1.0	0.99	391	4	861016	0	0	0	0	363248	735920	980511
F213	154.0499	25.2	24.07	28.31	413	19544131	1.0	0.83	3199	8	2550991	1942514	3080707	3023023	2544437	2630582	2281142	2205932
